index,latitude,longitude,available_bikes,empty_slots,name,FS Restaurant Distance,Station Distance,yelp_index,yelp_rating,yelp_distance,Bike_Usage
0,25.729275,-80.241581,5,11,000605 - Virginia St & Florida Ave,80,0,0,5.0,173.75402984504632,68.75
1,25.732522,-80.233244,7,9,000606 - S Bayshor Dr & Aviation Ave,80,0,1,5.0,540.432570586223,56.25
2,25.7511,-80.202641,5,9,000612 - SE Brickell Ave & 25th Rd,238,0,2,4.0,305.4163085251156,64.29
3,25.760082,-80.196217,7,9,000616 - 150 SW 15th Road,239,0,3,5.0,109.90889434858852,56.25
4,25.761884,-80.193101,10,4,000617 - S Miami Ave & 13th Street,44,0,4,5.0,133.21678939056724,28.57
5,25.768483,-80.190547,4,12,000618 - SE 5th Street & Brickell Ave,5,979,5,5.0,260.5648147274045,75.0
6,25.761522,-80.1967748,5,11,000619 - 13th Street SW 2nd Ave,213,0,6,5.0,139.8763684324942,68.75
7,25.7604,-80.19186,1,12,000620 - 14th Street & SE Brickell Ave,77,0,7,5.0,142.4786785146077,92.31
8,25.7603626,-80.1936702,9,7,000621 - 14th St & S Miami Ave,20,0,8,5.0,199.05075737885156,43.75
9,25.767414,-80.199166,10,6,000629 - SW 3rd Ave & 7th St,97,984,9,5.0,220.8232692348005,37.5
10,25.765769,-80.211373,9,7,000630 - 10th Ave & SW 8th St,50,0,10,4.5,52.25332301997548,43.75
11,25.779881,-80.218424,5,10,000631 - Marlins Park Station,184,0,11,4.5,169.99637515477772,66.67
12,25.767497,-80.195732,9,7,000632 - 1st CT & SW 7th St,114,922,12,5.0,123.22152898418469,43.75
13,25.76258,-80.193948,5,11,000633 - SW 12th Street & S Miami Ave,17,0,13,5.0,153.16556003144368,68.75
14,25.76589,-80.191042,5,8,000634 - Brickell Ave & SE 8th Street (east side),64,0,14,5.0,287.8162050865781,61.54
15,25.771428,-80.190815,5,11,000640 - SE 2nd Ave & 4st ( James L. Knight Center),76,710,15,4.5,178.53098430779806,68.75
16,25.7717329,-80.1899646,12,4,000641 - Whole Foods Downtown (299 SE 3rd Ave),111,754,16,4.5,192.7220776094652,25.0
17,25.7725576,-80.1921467,3,13,000642 - SE 2nd St & SE 1st Ave,42,527,17,4.5,57.46436654645688,81.25
18,25.77369,-80.18896,12,4,000667 - SE 3 Ave & North of 1 Street,36,742,18,4.5,84.71940067548832,25.0
19,25.7733724,-80.1920071,5,4,000644 - SE 1st and SE 1st Ave,54,482,19,4.5,56.22964238004284,44.44
20,25.7870287,-80.1939982,7,9,000649 - 13th Street & North Miami Ave,34,0,20,4.5,250.0761267478151,56.25
