yelp_index,yelp_name,yelp_rating,yelp_distance
0,Farm To Fork Meals,5.0,9661.26607958775
0,Dan the Cookie Man,5.0,45344.05006403372
0,Almotti,5.0,20707.90227055798
0,Fye Stars,5.0,32224.968395718246
0,Fookem's Fabulous Key Lime Pie,5.0,173.75402984504632
0,La Burguesa,5.0,18218.355074722393
0,Midorie Miami,5.0,296.79873379546143
0,Funnel Cake Miami,5.0,34302.348272309224
0,The Melted Scoop,5.0,27506.476327826895
0,Lamoy's Living Foods,5.0,552.3507177980675
0,Reggae Beets Gourmet Food Truck,5.0,40864.40649264678
0,The Caribe Vegan,5.0,46804.662304646576
0,Firangi Food with Masala,5.0,9428.09984672783
0,Cucina Bambina,5.0,51524.85758760951
0,Walt Grace Vintage,5.0,8968.471486814966
0,Ceviche Bowl,5.0,18468.24472683102
0,Kobschie's Ice Rolls,5.0,88609.64557340137
0,Suite Habana Cafe,5.0,9336.798391574086
0,George's Shawarma,5.0,18482.068488287496
0,Pizza Café,5.0,26811.26565024865
1,Farm To Fork Meals,5.0,8938.745139367918
1,Dan the Cookie Man,5.0,44792.8584547093
1,Almotti,5.0,21610.463977066156
1,Fye Stars,5.0,31865.09373240761
1,Fookem's Fabulous Key Lime Pie,5.0,1014.504023547214
1,La Burguesa,5.0,19126.6917629159
1,Funnel Cake Miami,5.0,35212.15495574907
1,The Melted Scoop,5.0,26863.282858851653
1,Reggae Beets Gourmet Food Truck,5.0,40355.21111210797
1,The Caribe Vegan,5.0,46241.27447814689
1,Firangi Food with Masala,5.0,10318.951183247576
1,Cucina Bambina,5.0,51067.17624712544
1,Walt Grace Vintage,5.0,8290.567619050616
1,Ceviche Bowl,5.0,19376.199375215365
1,Kobschie's Ice Rolls,5.0,88217.68064670682
1,Suite Habana Cafe,5.0,8622.912568950762
1,George's Shawarma,5.0,18563.292288172423
1,Pizza Café,5.0,27719.037622669126
1,Yelp Elite Perk: Resume Review with Your Next Jump,5.0,540.432570586223
1,Paradise Cups,5.0,130144.26125885684
2,Cienfuegos Coffee,5.0,916.234337669676
2,Italian Vice,5.0,3659.129244324461
2,Vizcaya Museum & Gardens,4.5,1082.9708353299013
2,Raccoon Coffee,4.5,2254.263310843708
2,2 Korean Girls,4.5,6916.841365406218
2,Cakeology by Erika,5.0,305.4163085251156
2,Asian Thai Kitchen,4.0,4873.30449350108
2,Cure Cafe,4.0,855.7738353448708
2,Bocas Grill Brickell,4.0,686.3507294913494
2,D’Pura Cepa,4.0,570.5843152452094
2,Vizcaya Museum Gift Shop & Cafe,4.0,1082.9708353299013
2,Rik Rak Salon 1,4.0,1372.545481803264
2,Alice C. Wainwright Park,4.0,444.4985350503136
2,Simpson Park,4.0,966.7383540351581
2,Designer Sweets,5.0,666.0439558427285
2,Buibakery,5.0,666.0439558427285
2,Waffle Cabin Miami,5.0,305.4163085251156
2,Andale Miami,4.0,5916.7880258545065
2,La Sagrada  Taqueria,4.5,4580.988563770395
2,PM Fish & Steak House,4.0,1264.167122114833
3,Incredible Kettle Corn,5.0,109.90889434858852
3,Taco Express,5.0,438.74352384613013
3,Farm To Fork Meals,5.0,4884.320353312077
3,Dan the Cookie Man,5.0,41051.594771509255
3,Almotti,5.0,26371.602301306837
3,Italian Vice,5.0,2669.737603455835
3,Fye Stars,5.0,29096.857434913614
3,Miu’s Tea,5.0,912.1619459242398
3,La Burguesa,5.0,23838.66398191541
3,Funnel Cake Miami,5.0,39859.787604011435
3,Mayu Miami,5.0,827.2844058526643
3,Reggae Beets Gourmet Food Truck,5.0,36818.01334928483
3,The Caribe Vegan,5.0,42442.61403588131
3,Momi Market,5.0,506.52931644065853
3,Vice City Bean Brickell,5.0,600.5187958365227
3,Cucina Bambina,5.0,47726.20813810561
3,Ceviche Bowl,5.0,24093.75081461667
3,Gran Sierpe Pisco Bus Part Dos,5.0,477.5930478758274
3,Kobschie's Ice Rolls,5.0,85109.40487741565
3,Suite Habana Cafe,5.0,4655.721554804639
4,Incredible Kettle Corn,5.0,271.41480185523517
4,Taco Express,5.0,751.5950769140983
4,Farm To Fork Meals,5.0,4667.425422773867
4,Dan the Cookie Man,5.0,40803.763384252285
4,N by NAOE,5.0,982.3257235191634
4,Almotti,5.0,26742.42330643769
4,Italian Vice,5.0,2533.114516154329
4,Fye Stars,5.0,28945.124483454598
4,Miu’s Tea,5.0,653.9477682324722
4,La Burguesa,5.0,24208.80412901008
4,Funnel Cake Miami,5.0,40227.73830419485
4,Mayu Miami,5.0,733.7087068432689
4,Reggae Beets Gourmet Food Truck,5.0,36590.89605943544
4,The Caribe Vegan,5.0,42188.94051888534
4,Momi Market,5.0,222.5199619993228
4,Vice City Bean Brickell,5.0,242.75233684270876
4,Cucina Bambina,5.0,47514.01018210503
4,Ceviche Bowl,5.0,24463.99921950064
4,Gran Sierpe Pisco Bus Part Dos,5.0,133.21678939056724
4,Kobschie's Ice Rolls,5.0,84912.54514396768
5,Incredible Kettle Corn,5.0,983.6714197569748
5,Taco Express,5.0,1311.008139808574
5,Farm To Fork Meals,5.0,3935.481569935199
5,Dan the Cookie Man,5.0,40039.15766653325
5,N by NAOE,5.0,531.4409478599301
5,Almotti,5.0,27353.411628719332
5,Paul S. Walker Urbanscape,5.0,717.3344972013166
5,Fye Stars,5.0,28262.0385169342
5,Miu’s Tea,5.0,260.5648147274045
5,La Burguesa,5.0,24795.47277921272
5,Funnel Cake Miami,5.0,40778.96818845349
5,Manila Kantina,5.0,672.2790956802935
5,Mayu Miami,5.0,651.8235886962276
5,Reggae Beets Gourmet Food Truck,5.0,35838.70352384989
5,Madda’s Place,5.0,508.33614475007977
5,The Caribe Vegan,5.0,41421.49314066033
5,Momi Market,5.0,587.558701678252
5,Yann Couvreur Patisserie,5.0,630.7368672625616
5,Vice City Bean Brickell,5.0,698.2195739317485
5,Cucina Bambina,5.0,46772.25344375168
6,Incredible Kettle Corn,5.0,139.8763684324942
6,Taco Express,5.0,382.26227325939584
